date,valeur,mot_cle
2022-09-01,30,cloud computing
2022-10-01,30,cloud computing
2022-11-01,33,cloud computing
2022-12-01,24,cloud computing
2023-01-01,36,cloud computing
2023-02-01,26,cloud computing
2023-03-01,34,cloud computing
2023-04-01,27,cloud computing
2023-05-01,28,cloud computing
2023-06-01,26,cloud computing
2023-07-01,22,cloud computing
2023-08-01,21,cloud computing
2023-09-01,28,cloud computing
2023-10-01,31,cloud computing
2023-11-01,31,cloud computing
2023-12-01,31,cloud computing
2024-01-01,29,cloud computing
2024-02-01,34,cloud computing
2024-03-01,40,cloud computing
2024-04-01,36,cloud computing
2024-05-01,30,cloud computing
2024-06-01,33,cloud computing
2024-07-01,28,cloud computing
2024-08-01,36,cloud computing
2024-09-01,37,cloud computing
2024-10-01,37,cloud computing
2024-11-01,38,cloud computing
2024-12-01,31,cloud computing
2025-01-01,38,cloud computing
2025-02-01,37,cloud computing
2025-03-01,39,cloud computing
2025-04-01,34,cloud computing
2025-05-01,35,cloud computing
2025-06-01,40,cloud computing
2025-07-01,29,cloud computing
2025-08-01,26,cloud computing
2025-09-01,30,cloud computing
2025-10-01,37,cloud computing
2025-11-01,97,cloud computing
2025-12-01,100,cloud computing
2020-01-01,64,serveur
2020-02-01,72,serveur
2020-03-01,88,serveur
2020-04-01,100,serveur
2020-05-01,86,serveur
2020-06-01,72,serveur
2020-07-01,69,serveur
2020-08-01,68,serveur
2020-09-01,67,serveur
2020-10-01,73,serveur
2020-11-01,72,serveur
2020-12-01,68,serveur
2021-01-01,67,serveur
2021-02-01,80,serveur
2021-03-01,80,serveur
2021-04-01,82,serveur
2021-05-01,70,serveur
2021-06-01,65,serveur
2021-07-01,66,serveur
2021-08-01,66,serveur
2021-09-01,65,serveur
2021-10-01,73,serveur
2021-11-01,68,serveur
2021-12-01,72,serveur
2022-01-01,86,serveur
2022-02-01,93,serveur
2022-03-01,87,serveur
2022-04-01,79,serveur
2022-05-01,80,serveur
2022-06-01,78,serveur
2022-07-01,72,serveur
2022-08-01,75,serveur
2022-09-01,72,serveur
2022-10-01,75,serveur
2022-11-01,79,serveur
2022-12-01,67,serveur
2023-01-01,78,serveur
2023-02-01,77,serveur
2023-03-01,72,serveur
2023-04-01,73,serveur
2023-05-01,68,serveur
2023-06-01,71,serveur
2023-07-01,70,serveur
2023-08-01,68,serveur
2023-09-01,64,serveur
2023-10-01,71,serveur
2023-11-01,70,serveur
2023-12-01,73,serveur
2024-01-01,72,serveur
2024-02-01,76,serveur
2024-03-01,81,serveur
2024-04-01,71,serveur
2024-05-01,68,serveur
2024-06-01,71,serveur
2024-07-01,67,serveur
2024-08-01,65,serveur
2024-09-01,67,serveur
2024-10-01,74,serveur
2024-11-01,67,serveur
2024-12-01,76,serveur
2025-01-01,73,serveur
2025-02-01,86,serveur
2025-03-01,72,serveur
2025-04-01,66,serveur
2025-05-01,68,serveur
2025-06-01,66,serveur
2025-07-01,65,serveur
2025-08-01,65,serveur
2025-09-01,64,serveur
2025-10-01,70,serveur
2025-11-01,71,serveur
2025-12-01,67,serveur
2020-01-01,18,gpu
2020-02-01,18,gpu
